# 《西游：第八十二难》道具定义表 v1
# category：None/Consumable/Material/Key/Currency/QuestItem/Recipe；tier：Common/Refined/Rare/Legendary/Mythic
# effectKey 为效果语义键（如 item.effect.heal.health），由效果解释器消费，不是本地化键。
id,displayNameKey,descriptionKey,tags,version,category,tier,stackLimit,price,usableInBattle,usableInField,isConsumedOnUse,effectKey,effectMagnitude,effectDurationTurns,effectSkillId,spriteKey
ITM_POTION_SMALL,item.potion.small.name,item.potion.small.desc,ch01;consumable,1,Consumable,Common,99,20,true,true,true,item.effect.heal.health,40,0,,sprite.item.potion.small
ITM_POTION_SPIRIT,item.potion.spirit.name,item.potion.spirit.desc,ch01;consumable,1,Consumable,Common,99,25,true,true,true,item.effect.heal.spirit,25,0,,sprite.item.potion.spirit
ITM_ANTIDOTE,item.antidote.name,item.antidote.desc,ch01;consumable,1,Consumable,Common,99,18,true,true,true,item.effect.cure.status,1,0,,sprite.item.antidote
ITM_HERB,item.herb.name,item.herb.desc,ch01;material,1,Material,Common,999,4,false,false,false,,0,0,,sprite.item.herb
ITM_WOLF_PELT,item.wolf_pelt.name,item.wolf_pelt.desc,legacy;material,1,Material,Common,999,6,false,false,false,,0,0,,sprite.item.wolf_pelt
ITM_IRON_SHARD,item.iron_shard.name,item.iron_shard.desc,legacy;material,1,Material,Refined,999,12,false,false,false,,0,0,,sprite.item.iron_shard
ITM_BANDIT_TOKEN,item.bandit_token.name,item.bandit_token.desc,legacy;quest,1,QuestItem,Refined,1,0,false,false,false,,0,0,,sprite.item.bandit_token
ITM_MAP_BLACKWIND,item.map_blackwind.name,item.map_blackwind.desc,legacy;quest,1,QuestItem,Rare,1,0,false,false,false,,0,0,,sprite.item.map_blackwind
ITM_PEACH_WINE,item.peach_wine.name,item.peach_wine.desc,ch01;material,1,Material,Common,999,5,false,false,false,,0,0,,sprite.item.peach_wine
ITM_STONE_SHARD,item.stone_shard.name,item.stone_shard.desc,ch01;material,1,Material,Common,999,4,false,false,false,,0,0,,sprite.item.stone_shard
ITM_ROTTEN_PEACH_CORE,item.rotten_peach_core.name,item.rotten_peach_core.desc,ch01;material,1,Material,Refined,999,14,false,false,false,,0,0,,sprite.item.rotten_peach_core
ITM_VINE_FIBER,item.vine_fiber.name,item.vine_fiber.desc,ch01;material,1,Material,Common,999,5,false,false,false,,0,0,,sprite.item.vine_fiber
ITM_APE_FANG,item.ape_fang.name,item.ape_fang.desc,ch01;material,1,Material,Refined,999,16,false,false,false,,0,0,,sprite.item.ape_fang
ITM_BANQUET_CUP,item.banquet_cup.name,item.banquet_cup.desc,ch01;material,1,Material,Common,999,6,false,false,false,,0,0,,sprite.item.banquet_cup
ITM_BONE_ASH,item.bone_ash.name,item.bone_ash.desc,ch01;material,1,Material,Rare,999,18,false,false,false,,0,0,,sprite.item.bone_ash
ITM_MEMORY_SHARD,item.memory_shard.name,item.memory_shard.desc,ch01;material,1,Material,Rare,999,20,false,false,false,,0,0,,sprite.item.memory_shard
ITM_OLD_RING,item.old_ring.name,item.old_ring.desc,ch01;quest,1,QuestItem,Legendary,1,0,false,false,false,,0,0,,sprite.item.old_ring
ITM_PEACH_CHARM,item.peach_charm.name,item.peach_charm.desc,ch01;quest,1,QuestItem,Rare,1,0,false,false,false,,0,0,,sprite.item.peach_charm
